client_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Customer_Segment,Cluster,Cluster_Name
0,1,12160,703359.67,1,4,5,145,At-Risk / High Spenders At Risk,2,Cluster 2
1,1,9931,352054.37,1,3,2,132,At-Risk / High Spenders At Risk,0,Cluster 0
2,1,10104,331947.27,1,3,2,132,At-Risk / High Spenders At Risk,0,Cluster 0
3,1,5947,286810.46,1,1,2,112,Lost Customers,0,Cluster 0
4,1,14386,663287.36,1,5,4,154,At-Risk / High Spenders At Risk,2,Cluster 2
5,1,4451,332238.6,1,1,2,112,Lost Customers,0,Cluster 0
11,1,9782,623274.46,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
13,2,6807,279058.28,1,2,1,121,Lost Customers,0,Cluster 0
14,1,4823,287154.77,1,1,2,112,Lost Customers,0,Cluster 0
16,1,6469,425088.72,1,2,3,123,Lost Customers,0,Cluster 0
17,1,16909,848213.04,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
19,1,3257,55196.4,1,1,1,111,Lost Customers,0,Cluster 0
20,1,10608,342466.52,1,4,2,142,At-Risk / High Spenders At Risk,2,Cluster 2
21,2,8234,342163.49,1,3,2,132,At-Risk / High Spenders At Risk,0,Cluster 0
22,1,2838,112971.4,1,1,1,111,Lost Customers,0,Cluster 0
24,1,8521,378949.05,1,3,3,133,At-Risk / High Spenders At Risk,0,Cluster 0
27,1,9139,489083.13,1,3,3,133,At-Risk / High Spenders At Risk,2,Cluster 2
28,1,6180,468540.92,1,2,3,123,Lost Customers,0,Cluster 0
32,1,8054,360166.06,1,2,2,122,Lost Customers,0,Cluster 0
33,1,10416,564663.9,1,4,4,144,At-Risk / High Spenders At Risk,2,Cluster 2
34,1,13976,831858.22,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
37,1,11864,677613.8,1,4,4,144,At-Risk / High Spenders At Risk,2,Cluster 2
38,1,13046,574490.48,1,4,4,144,At-Risk / High Spenders At Risk,2,Cluster 2
39,1,14906,924654.44,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
40,1,6336,193837.65,1,2,1,121,Lost Customers,0,Cluster 0
42,1,8040,274536.23,1,2,1,121,Lost Customers,0,Cluster 0
44,1,7484,408630.76,1,2,3,123,Lost Customers,0,Cluster 0
45,2,5794,112881.39,1,1,1,111,Lost Customers,0,Cluster 0
46,1,8861,503059.25,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
47,1,10626,365217.32,1,4,2,142,At-Risk / High Spenders At Risk,2,Cluster 2
48,1,7269,324106.97,1,2,2,122,Lost Customers,0,Cluster 0
50,1,6458,302936.53,1,2,2,122,Lost Customers,0,Cluster 0
51,1,8070,426400.35,1,2,3,123,Lost Customers,0,Cluster 0
53,1,20313,1006607.38,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
55,1,13741,324462.94,1,5,2,152,At-Risk / High Spenders At Risk,2,Cluster 2
57,1,10375,471330.16,1,4,3,143,At-Risk / High Spenders At Risk,2,Cluster 2
58,2,6361,398873.45,1,2,3,123,Lost Customers,0,Cluster 0
59,1,11446,349928.34,1,4,2,142,At-Risk / High Spenders At Risk,2,Cluster 2
